	Unidades	STANDARD 	PREMIUM	Taxa Urgência	KM
Apoio a Seniores	Hora	  8.50 € 	  10.50 € 	  2.44 € 	0,36€/km
Apoio Familiar a Crianças	Hora	  8.50 € 	  10.50 € 	  2.44 € 	0,36€/km
Pet Sitting (Estadia)	Dia	  14.50 € 	  17.00 € 	  2.44 € 	0,36€/km
Pet Care (Visitas, passeios)	Hora	  7.50 € 	  10.00 € 	  2.44 € 	não
Aulas de Línguas	Hora	  16.00 € 	  19.00 € 	  2.44 € 	não				sorry
Aulas de Música	Hora	  20.00 € 	  22.00 € 	  2.44 € 	não
Chef em Casa	Hora	  10.00 € 	  12.50 € 	  2.44 € 	não
Costura	Hora	  8.13 € 	  10.13 € 	  2.44 € 	0,36€/km
Jardinagem	Hora	  10.00 € 	  12.00 € 	  2.44 € 	não
Passar a Ferro	Hora	  8.13 € 	  9.13 € 	  2.44 € 	não
Limpezas	Hora	  8.13 € 	  9.13 € 	  2.44 € 	não
Reparações (2 tipos de preços)
Pequenas Reparações	Hora	  15.00 € 	  18.50 € 	  2.44 € 	0,36€/km
Reparações Especiliazadas	Hora	  19.00 € 	  22.50 € 	  2.44 € 	0,36€/km
